State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Mississippi,Calhoun County,Rural area,15.00%,2.00%,,
Alabama,Covington County,Rural area,15.00%,1.60%,,
Mississippi,Tate County,Metro area,15.00%,2.70%,,
Florida,Polk County,Metro area,15.00%,0.60%,,
Mississippi,Leake County,Rural area,15.00%,2.50%,,
Kentucky,Pendleton County,Metro area,14.90%,3.80%,,
Tennessee,Sullivan County,Metro area,14.90%,1.00%,,
Virginia,Russell County,Rural area,14.90%,2.50%,,
Illinois,Peoria County,Metro area,14.90%,0.90%,,
Illinois,Pike County,Rural area,14.90%,1.90%,,
Ohio,Clinton County,Small town,14.90%,1.80%,,
Virginia,Essex County,Rural area,14.90%,3.50%,,
Mississippi,Yalobusha County,Rural area,14.90%,3.00%,,
Tennessee,Cumberland County,Small town,14.90%,1.70%,,
Georgia,Tift County,Small town,14.90%,2.40%,,
Pennsylvania,Somerset County,Small town,14.80%,1.10%,,
South Carolina,Newberry County,Small town,14.80%,2.30%,,
New Mexico,Rio Arriba County,Small town,14.80%,2.20%,,
Connecticut,New Haven County,Metro area,14.80%,0.40%,,
Michigan,Van Buren County,Metro area,14.80%,1.30%,,
Oklahoma,Pittsburg County,Small town,14.80%,1.10%,,
Idaho,Clark County,Rural area,14.80%,11.00%,,
South Carolina,Laurens County,Metro area,14.80%,1.50%,,
Alabama,Cleburne County,Rural area,14.80%,3.10%,,
Mississippi,Franklin County,Rural area,14.80%,4.20%,,
Illinois,Wabash County,Rural area,14.80%,2.80%,,
North Carolina,Wilkes County,Small town,14.80%,1.40%,,
Tennessee,Bedford County,Small town,14.80%,2.20%,,
Arkansas,Sevier County,Rural area,14.80%,3.10%,,
Utah,San Juan County,Rural area,14.80%,2.30%,,
Pennsylvania,Clinton County,Small town,14.80%,1.40%,,
Texas,Swisher County,Rural area,14.80%,4.00%,,
Ohio,Crawford County,Small town,14.80%,1.60%,,
Florida,Hernando County,Metro area,14.80%,1.00%,,
Ohio,Monroe County,Rural area,14.80%,2.30%,,
Wisconsin,Langlade County,Rural area,14.70%,2.20%,,
California,San Bernardino County,Metro area,14.70%,0.30%,,
Idaho,Canyon County,Metro area,14.70%,1.10%,,
Michigan,Roscommon County,Rural area,14.70%,1.30%,,
Oklahoma,Comanche County,Metro area,14.70%,1.00%,,
Tennessee,Giles County,Rural area,14.70%,2.20%,,
Virginia,Grayson County,Rural area,14.70%,2.80%,,
Oklahoma,Jackson County,Small town,14.70%,1.70%,,
Tennessee,Benton County,Rural area,14.70%,2.70%,,
Alabama,Pickens County,Metro area,14.70%,2.50%,,
Arkansas,Little River County,Metro area,14.70%,3.50%,,
Alabama,Winston County,Rural area,14.70%,2.30%,,
Virginia,Norfolk city,Metro area,14.70%,0.70%,,
Connecticut,Hartford County,Metro area,14.70%,0.40%,,
Nevada,Mineral County,Rural area,14.60%,4.50%,,
New York,Schuyler County,Rural area,14.60%,2.10%,,
Georgia,Brooks County,Metro area,14.60%,2.70%,,
Texas,Wharton County,Small town,14.60%,2.50%,,
Connecticut,Windham County,Metro area,14.60%,1.20%,,
Louisiana,East Feliciana Parish,Metro area,14.60%,2.80%,,
Louisiana,St. James Parish,Metro area,14.60%,2.70%,,
Kentucky,Edmonson County,Metro area,14.60%,2.80%,,
Oklahoma,Delaware County,Rural area,14.60%,1.10%,,
Texas,Jeff Davis County,Rural area,14.60%,6.90%,,
Illinois,Greene County,Rural area,14.60%,2.40%,,
North Carolina,Pitt County,Metro area,14.60%,1.10%,,
Georgia,Liberty County,Metro area,14.60%,1.60%,,
Kentucky,Clark County,Metro area,14.60%,2.20%,,
Kentucky,Livingston County,Small town,14.60%,3.30%,,
Washington,Columbia County,Metro area,14.60%,3.60%,,
Florida,Highlands County,Metro area,14.60%,1.20%,,
Mississippi,Walthall County,Rural area,14.60%,4.20%,,
Arkansas,Hot Spring County,Small town,14.60%,2.40%,,
Illinois,Cook County,Metro area,14.60%,0.20%,,
Arizona,Graham County,Small town,14.60%,1.70%,,
Iowa,Decatur County,Rural area,14.60%,2.70%,,
Missouri,Taney County,Small town,14.60%,1.90%,,
Virginia,Scott County,Metro area,14.60%,2.50%,,
Ohio,Columbiana County,Small town,14.60%,1.10%,,
Georgia,Floyd County,Metro area,14.60%,1.20%,,
Arkansas,Lincoln County,Metro area,14.60%,3.90%,,
New Jersey,Essex County,Metro area,14.60%,0.50%,,
Louisiana,West Baton Rouge Parish,Metro area,14.50%,3.10%,,
Tennessee,Greene County,Small town,14.50%,1.30%,,
New Mexico,Socorro County,Rural area,14.50%,3.10%,,
Montana,Lake County,Rural area,14.50%,1.80%,,
Vermont,Essex County,Small town,14.50%,2.00%,,
Illinois,Jasper County,Rural area,14.50%,3.70%,,
Kentucky,Trimble County,Metro area,14.50%,4.30%,,
Georgia,Rabun County,Rural area,14.50%,2.30%,,
Arizona,Mohave County,Metro area,14.50%,0.80%,,
Ohio,Montgomery County,Metro area,14.50%,0.50%,,
Louisiana,Assumption Parish,Rural area,14.50%,3.10%,,
Michigan,Sanilac County,Rural area,14.50%,1.10%,,
Indiana,Grant County,Small town,14.50%,1.30%,,
North Carolina,Person County,Metro area,14.50%,1.90%,,
Texas,Calhoun County,Small town,14.50%,2.80%,,
Virginia,Portsmouth city,Metro area,14.50%,1.20%,,
Montana,Big Horn County,Rural area,14.50%,3.30%,,
Illinois,Hardin County,Rural area,14.50%,3.60%,,
Illinois,Union County,Rural area,14.40%,2.10%,,
Iowa,Appanoose County,Rural area,14.40%,2.40%,,
Louisiana,East Baton Rouge Parish,Metro area,14.40%,0.60%,,
Indiana,Delaware County,Metro area,14.40%,1.10%,,
Virginia,Covington city,Rural area,14.40%,5.10%,,
North Carolina,Randolph County,Metro area,14.40%,1.10%,,
Nevada,Nye County,Small town,14.40%,2.30%,,
North Carolina,Alamance County,Metro area,14.40%,0.90%,,
California,San Joaquin County,Metro area,14.40%,0.50%,,
Illinois,Rock Island County,Metro area,14.40%,0.90%,,
Georgia,Murray County,Metro area,14.40%,2.40%,,
Michigan,Tuscola County,Rural area,14.40%,1.20%,,
Kentucky,Henderson County,Metro area,14.30%,2.00%,,
Mississippi,Pontotoc County,Small town,14.30%,2.70%,,
Texas,Edwards County,Rural area,14.30%,6.20%,,
Michigan,Missaukee County,Small town,14.30%,1.60%,,
Alabama,Etowah County,Metro area,14.30%,1.40%,,
Georgia,Irwin County,Rural area,14.30%,3.90%,,
North Carolina,Caldwell County,Metro area,14.30%,1.30%,,
Alaska,Ketchikan Gateway Borough,Small town,14.30%,1.90%,,
West Virginia,Pleasants County,Rural area,14.30%,3.60%,,
Colorado,Fremont County,Small town,14.30%,1.90%,,
Illinois,Livingston County,Small town,14.30%,1.50%,,
Kentucky,Butler County,Metro area,14.30%,2.40%,,
Texas,Lamb County,Rural area,14.30%,2.60%,,
Texas,Aransas County,Metro area,14.30%,2.90%,,
Michigan,Kalkaska County,Small town,14.20%,1.60%,,
New Mexico,Eddy County,Small town,14.20%,2.10%,,
North Carolina,Rowan County,Metro area,14.20%,1.20%,,
Kansas,Montgomery County,Small town,14.20%,1.40%,,
Kentucky,Hopkins County,Small town,14.20%,1.70%,,
West Virginia,Pendleton County,Rural area,14.20%,2.90%,,
Oklahoma,Marshall County,Rural area,14.20%,2.10%,,
Texas,Harrison County,Small town,14.20%,1.60%,,
Arkansas,Fulton County,Rural area,14.20%,3.40%,,
West Virginia,Jackson County,Rural area,14.20%,2.70%,,
Oklahoma,Nowata County,Rural area,14.20%,2.10%,,
Arkansas,Logan County,Rural area,14.20%,2.30%,,
Arkansas,Johnson County,Rural area,14.20%,1.90%,,
Texas,Limestone County,Rural area,14.20%,2.20%,,
Washington,Clallam County,Small town,14.20%,1.20%,,
Montana,Roosevelt County,Rural area,14.20%,2.70%,,
Mississippi,Marion County,Rural area,14.20%,2.70%,,
South Carolina,Chester County,Metro area,14.10%,2.00%,,
California,Yuba County,Metro area,14.10%,1.30%,,
Tennessee,Lincoln County,Rural area,14.10%,2.20%,,
Texas,Hale County,Small town,14.10%,2.40%,,
North Carolina,Montgomery County,Rural area,14.10%,2.10%,,
Florida,Escambia County,Metro area,14.10%,0.80%,,
Texas,Jackson County,Rural area,14.10%,3.10%,,
Vermont,Bennington County,Small town,14.10%,1.90%,,
Maine,Waldo County,Rural area,14.10%,1.50%,,
South Dakota,Butte County,Rural area,14.10%,4.40%,,
Kansas,Woodson County,Rural area,14.10%,2.90%,,
Georgia,Baldwin County,Small town,14.10%,2.00%,,
Missouri,Barry County,Rural area,14.10%,1.90%,,
Arkansas,Newton County,Small town,14.10%,3.30%,,
Texas,DeWitt County,Rural area,14.10%,2.80%,,
Michigan,Gratiot County,Small town,14.10%,1.50%,,
West Virginia,Pocahontas County,Rural area,14.10%,3.60%,,
Michigan,Berrien County,Metro area,14.00%,0.80%,,
West Virginia,Hampshire County,Metro area,14.00%,2.40%,,
Pennsylvania,Lehigh County,Metro area,14.00%,0.60%,,
Alabama,Houston County,Metro area,14.00%,0.60%,,
Illinois,Wayne County,Rural area,14.00%,1.80%,,
South Dakota,Charles Mix County,Rural area,14.00%,1.90%,,
North Carolina,Guilford County,Metro area,14.00%,0.50%,,
Florida,Hillsborough County,Metro area,14.00%,0.30%,,
Alabama,Jefferson County,Metro area,14.00%,0.50%,,
Kentucky,Muhlenberg County,Small town,14.00%,2.00%,,
Florida,Glades County,Rural area,14.00%,4.30%,13.60%,21.20%
Virginia,Lunenburg County,Rural area,14.00%,3.20%,,
Texas,Matagorda County,Small town,14.00%,2.10%,,
Arkansas,Cleveland County,Metro area,14.00%,3.20%,,
Indiana,Vigo County,Metro area,14.00%,1.00%,,
New York,Lewis County,Rural area,14.00%,1.50%,,
Virginia,Greensville County,Rural area,14.00%,4.60%,,
Iowa,Clinton County,Small town,14.00%,1.60%,,
Colorado,Kiowa County,Rural area,13.90%,5.00%,,
Michigan,Calhoun County,Metro area,13.90%,1.00%,,
Texas,Taylor County,Metro area,13.90%,1.10%,,
Pennsylvania,Beaver County,Metro area,13.90%,0.80%,,
Illinois,Lee County,Small town,13.90%,1.80%,,
New York,Sullivan County,Rural area,13.90%,1.50%,,
Texas,Houston County,Rural area,13.90%,2.20%,,
New Mexico,Union County,Rural area,13.90%,6.20%,,
Michigan,Montcalm County,Metro area,13.90%,1.10%,,
New York,Fulton County,Small town,13.90%,1.50%,,
Pennsylvania,Indiana County,Small town,13.90%,1.10%,,
Kentucky,Henry County,Metro area,13.90%,2.30%,,
Tennessee,Clay County,Rural area,13.90%,3.80%,,
Missouri,Polk County,Metro area,13.90%,1.80%,,
Texas,Orange County,Metro area,13.90%,1.60%,,
Texas,Deaf Smith County,Small town,13.90%,3.20%,,
Texas,Eastland County,Rural area,13.90%,3.20%,,
Mississippi,Monroe County,Rural area,13.90%,2.20%,,
Kentucky,Union County,Rural area,13.80%,3.10%,,
Kentucky,Monroe County,Rural area,13.80%,2.50%,,
Virginia,Appomattox County,Metro area,13.80%,2.40%,,
Iowa,Greene County,Rural area,13.80%,2.60%,,
Washington,Wahkiakum County,Rural area,13.80%,4.40%,,
Iowa,Monona County,Rural area,13.80%,2.90%,,
Virginia,Southampton County,Rural area,13.70%,2.90%,,
Illinois,Macoupin County,Metro area,13.70%,1.50%,,
Georgia,Clarke County,Metro area,13.70%,1.30%,,
New Jersey,Atlantic County,Metro area,13.70%,0.80%,,
Iowa,Wayne County,Rural area,13.70%,2.30%,,
Missouri,Morgan County,Rural area,13.70%,2.60%,,
Illinois,Scott County,Small town,13.70%,2.80%,,
Mississippi,Alcorn County,Small town,13.70%,2.10%,,
Georgia,Greene County,Rural area,13.70%,2.50%,,
Alabama,Conecuh County,Rural area,13.70%,3.70%,,
Idaho,Washington County,Rural area,13.70%,2.30%,,
Pennsylvania,Northumberland County,Small town,13.70%,1.00%,,
Virginia,Alleghany County,Rural area,13.70%,2.40%,,
Pennsylvania,Huntingdon County,Small town,13.70%,1.20%,,
North Carolina,Harnett County,Small town,13.70%,0.90%,,
Virginia,Prince Edward County,Rural area,13.70%,3.40%,,
Tennessee,Van Buren County,Rural area,13.70%,3.40%,,
California,Sutter County,Metro area,13.70%,1.40%,,
Michigan,Mecosta County,Small town,13.70%,1.30%,,
Wisconsin,Price County,Rural area,13.70%,2.20%,,
Georgia,Jones County,Metro area,13.70%,3.20%,,
Maryland,Garrett County,Rural area,13.70%,1.70%,,
Arkansas,Polk County,Rural area,13.70%,2.40%,,
Alabama,Marshall County,Small town,13.70%,1.20%,,
Texas,Refugio County,Rural area,13.70%,2.90%,,
New York,Onondaga County,Metro area,13.70%,0.40%,,
Oklahoma,Harmon County,Rural area,13.70%,4.00%,,
North Dakota,Eddy County,Rural area,13.70%,5.10%,,
North Carolina,Burke County,Metro area,13.70%,1.30%,,
Illinois,LaSalle County,Small town,13.60%,1.10%,,
Michigan,St. Clair County,Metro area,13.60%,0.70%,,
Texas,Grimes County,Rural area,13.60%,2.80%,,
California,Tehama County,Small town,13.60%,1.80%,,
Illinois,Williamson County,Metro area,13.60%,1.40%,,
Texas,Culberson County,Rural area,13.60%,5.80%,,
Texas,Freestone County,Rural area,13.60%,2.60%,,
Illinois,McDonough County,Small town,13.60%,2.20%,,
Kansas,Wyandotte County,Metro area,13.60%,0.70%,,
Missouri,McDonald County,Metro area,13.60%,2.70%,,
South Dakota,Lyman County,Rural area,13.60%,2.70%,,
West Virginia,Harrison County,Small town,13.60%,1.40%,,
Iowa,Jefferson County,Small town,13.60%,2.60%,,
New York,Cortland County,Small town,13.60%,1.50%,,
Texas,Bell County,Metro area,13.60%,0.80%,,
Michigan,Alcona County,Rural area,13.60%,1.50%,,
Missouri,Jasper County,Metro area,13.60%,1.30%,,
Kentucky,Cumberland County,Rural area,13.60%,4.00%,,
California,Stanislaus County,Metro area,13.60%,0.60%,,
Utah,Carbon County,Small town,13.60%,2.30%,,
Montana,Lincoln County,Rural area,13.50%,2.80%,,
Virginia,Buckingham County,Metro area,13.50%,2.80%,,
Illinois,Boone County,Metro area,13.50%,2.40%,,
Florida,Gulf County,Metro area,13.50%,3.50%,,
South Dakota,Roberts County,Rural area,13.50%,2.30%,,
District of Columbia,District of Columbia,Metro area,13.50%,0.40%,,
Kentucky,Grant County,Metro area,13.50%,2.80%,,
South Carolina,Aiken County,Metro area,13.50%,1.10%,,
Illinois,Clark County,Rural area,13.50%,2.50%,,
Michigan,Oceana County,Rural area,13.50%,1.30%,,
Kentucky,Crittenden County,Rural area,13.50%,2.90%,,
Georgia,Gordon County,Small town,13.50%,1.90%,,
Missouri,Miller County,Rural area,13.50%,2.50%,,
Massachusetts,Essex County,Metro area,13.50%,0.50%,,
Texas,Wichita County,Metro area,13.50%,1.00%,,
New York,Cayuga County,Small town,13.40%,1.10%,,
Michigan,Shiawassee County,Small town,13.40%,1.10%,,
Florida,Wakulla County,Metro area,13.40%,2.60%,,
Ohio,Summit County,Metro area,13.40%,0.50%,,
North Carolina,Madison County,Metro area,13.40%,2.40%,,
Missouri,Laclede County,Small town,13.40%,1.60%,,
Arkansas,Conway County,Rural area,13.40%,2.60%,,
North Carolina,Craven County,Metro area,13.40%,1.30%,,
Pennsylvania,Fulton County,Rural area,13.40%,1.50%,,
Oklahoma,Carter County,Small town,13.40%,1.20%,,
West Virginia,Wetzel County,Rural area,13.40%,2.30%,,
Indiana,Madison County,Metro area,13.40%,1.00%,,
New York,Tioga County,Metro area,13.40%,1.50%,,
Mississippi,Scott County,Rural area,13.40%,3.20%,,
Texas,Milam County,Rural area,13.40%,2.40%,,
Massachusetts,Berkshire County,Metro area,13.30%,0.90%,,
Illinois,Cass County,Rural area,13.30%,2.40%,,
Missouri,Randolph County,Small town,13.30%,2.40%,,
Georgia,Oglethorpe County,Metro area,13.30%,2.70%,,
New York,Washington County,Metro area,13.30%,1.50%,,
Illinois,Pope County,Rural area,13.30%,3.60%,,
Oklahoma,Craig County,Rural area,13.30%,1.90%,,
North Carolina,Pamlico County,Metro area,13.30%,2.40%,,
Washington,Benton County,Metro area,13.30%,0.80%,,
Iowa,Webster County,Small town,13.30%,1.80%,,
Colorado,Delta County,Rural area,13.30%,2.10%,,
Florida,Pasco County,Metro area,13.30%,0.50%,,
Oklahoma,Blaine County,Rural area,13.30%,3.70%,,
Ohio,Stark County,Metro area,13.30%,0.50%,,
Ohio,Pickaway County,Metro area,13.30%,1.50%,,
West Virginia,Ohio County,Metro area,13.30%,1.40%,,
Maine,Lincoln County,Rural area,13.30%,1.50%,,
Kansas,Neosho County,Rural area,13.30%,2.50%,,
Louisiana,Union Parish,Metro area,13.30%,2.70%,,
South Carolina,Oconee County,Small town,13.30%,1.40%,,
Tennessee,Polk County,Metro area,13.30%,2.60%,,
Illinois,Adams County,Small town,13.30%,1.30%,,
Missouri,Dade County,Rural area,13.30%,2.90%,,
Idaho,Bannock County,Metro area,13.30%,1.30%,,
Wisconsin,Barron County,Rural area,13.30%,1.20%,,
Wisconsin,Rusk County,Rural area,13.30%,1.60%,,
Kentucky,Graves County,Small town,13.30%,1.80%,,
Ohio,Trumbull County,Metro area,13.20%,0.70%,,
Oklahoma,Pontotoc County,Small town,13.20%,1.30%,,
Kentucky,Ohio County,Rural area,13.20%,2.10%,,
Tennessee,Marion County,Metro area,13.20%,1.90%,,
Maine,Franklin County,Rural area,13.20%,2.00%,,
Oklahoma,Garfield County,Metro area,13.20%,1.70%,,
Indiana,Knox County,Small town,13.20%,1.60%,,
Wisconsin,Juneau County,Rural area,13.20%,1.30%,,
Ohio,Allen County,Metro area,13.20%,0.90%,,
Minnesota,Beltrami County,Small town,13.20%,1.50%,,
North Carolina,Stanly County,Small town,13.20%,1.40%,,
Florida,Volusia County,Metro area,13.20%,0.50%,,
Indiana,Marion County,Metro area,13.20%,0.40%,,
Ohio,Tuscarawas County,Small town,13.20%,1.40%,,
New Hampshire,Coos County,Small town,13.20%,1.70%,,
Virginia,Patrick County,Rural area,13.20%,2.60%,,
Illinois,Randolph County,Rural area,13.20%,2.00%,,
New York,Steuben County,Small town,13.20%,0.90%,,
Indiana,Sullivan County,Metro area,13.20%,2.80%,,
Texas,Kent County,Rural area,13.20%,11.90%,,
New York,New York County,Metro area,13.20%,0.30%,,
North Carolina,Swain County,Rural area,13.20%,2.70%,,
Virginia,Pittsylvania County,Small town,13.20%,1.60%,,
Florida,Bay County,Metro area,13.20%,1.00%,,
South Carolina,Saluda County,Metro area,13.20%,2.90%,,
Kentucky,Madison County,Small town,13.20%,1.40%,,
Wisconsin,Kenosha County,Metro area,13.20%,0.80%,,
Pennsylvania,Berks County,Metro area,13.20%,0.50%,,
Texas,Castro County,Rural area,13.20%,3.90%,,
Georgia,Camden County,Small town,13.10%,1.80%,,
Michigan,Ionia County,Small town,13.10%,1.50%,,
Tennessee,Houston County,Rural area,13.10%,2.90%,,
Oklahoma,Stephens County,Small town,13.10%,1.30%,,
Idaho,Lewis County,Rural area,13.10%,2.00%,,
North Carolina,Gates County,Metro area,13.10%,3.50%,,
Indiana,Lake County,Metro area,13.10%,0.50%,,
Texas,Bexar County,Metro area,13.10%,0.30%,,
Texas,Brewster County,Rural area,13.10%,4.20%,,
Texas,Hunt County,Metro area,13.10%,1.20%,,
Virginia,Suffolk city,Metro area,13.10%,1.40%,,
Illinois,Sangamon County,Metro area,13.10%,0.70%,,
Alabama,Jackson County,Small town,13.10%,1.70%,,
Tennessee,Fayette County,Metro area,13.10%,1.70%,,
Louisiana,Calcasieu Parish,Metro area,13.10%,1.10%,,
Missouri,Bates County,Metro area,13.00%,2.10%,,
Missouri,Buchanan County,Metro area,13.00%,1.30%,,
Michigan,Delta County,Small town,13.00%,1.40%,,
Georgia,Lincoln County,Metro area,13.00%,3.20%,,
Oklahoma,Creek County,Metro area,13.00%,0.90%,,
Alaska,Aleutians East Borough,Rural area,13.00%,2.60%,,
Georgia,DeKalb County,Metro area,13.00%,0.50%,,
Arizona,Pima County,Metro area,13.00%,0.40%,,
Washington,Walla Walla County,Metro area,13.00%,1.50%,,
Texas,Bowie County,Metro area,13.00%,1.30%,,
Florida,Broward County,Metro area,13.00%,0.30%,,
Tennessee,Coffee County,Small town,13.00%,1.60%,,
Indiana,LaPorte County,Metro area,13.00%,1.20%,,
Illinois,Logan County,Small town,13.00%,1.80%,,
Alabama,Colbert County,Metro area,13.00%,1.50%,,
West Virginia,Grant County,Rural area,13.00%,2.80%,,
Missouri,St. Clair County,Rural area,13.00%,2.30%,,
Arkansas,Union County,Small town,13.00%,1.90%,,
Arkansas,Boone County,Small town,13.00%,1.80%,,
Missouri,Carroll County,Rural area,13.00%,2.90%,,
Wisconsin,Florence County,Small town,13.00%,2.60%,,
West Virginia,Berkeley County,Metro area,13.00%,1.40%,,
Iowa,Black Hawk County,Metro area,13.00%,1.00%,,
New York,Schenectady County,Metro area,13.00%,0.90%,,
Virginia,Lynchburg city,Metro area,13.00%,1.50%,,
New York,Queens County,Metro area,13.00%,0.20%,,
Louisiana,St. Charles Parish,Metro area,13.00%,1.80%,,
Texas,La Salle County,Rural area,13.00%,5.20%,,
Kentucky,Boyle County,Small town,13.00%,1.90%,,
Oklahoma,Oklahoma County,Metro area,12.90%,0.40%,,
Pennsylvania,Tioga County,Rural area,12.90%,1.10%,,
Minnesota,Wadena County,Rural area,12.90%,2.20%,,
Virginia,Fredericksburg city,Metro area,12.90%,2.80%,,
Georgia,Barrow County,Metro area,12.90%,1.20%,,
Oregon,Deschutes County,Metro area,12.90%,1.00%,,
Texas,Hockley County,Small town,12.90%,2.20%,,
California,Glenn County,Rural area,12.90%,2.50%,,
Alabama,Coffee County,Small town,12.90%,1.40%,,
Texas,Upshur County,Metro area,12.90%,1.80%,,
North Carolina,Pender County,Metro area,12.90%,1.60%,,
Louisiana,West Carroll Parish,Rural area,12.90%,2.70%,,
Arkansas,Sebastian County,Metro area,12.90%,1.00%,,
Tennessee,Stewart County,Rural area,12.90%,3.10%,,
Iowa,Jasper County,Small town,12.90%,1.90%,,
North Carolina,Johnston County,Metro area,12.90%,1.10%,,
Illinois,Madison County,Metro area,12.90%,0.60%,,
Florida,St. Lucie County,Metro area,12.90%,0.90%,,
Indiana,Wayne County,Small town,12.90%,1.30%,,
Illinois,Iroquois County,Rural area,12.90%,1.30%,,
Louisiana,Beauregard Parish,Small town,12.90%,2.00%,,
Georgia,Bartow County,Metro area,12.90%,1.30%,,
North Carolina,Granville County,Small town,12.90%,1.80%,,
Louisiana,West Feliciana Parish,Metro area,12.90%,4.10%,,
Michigan,Jackson County,Metro area,12.90%,0.80%,,
New York,Schoharie County,Metro area,12.90%,1.60%,,
South Carolina,Richland County,Metro area,12.90%,0.60%,,
Ohio,Seneca County,Small town,12.90%,1.60%,,
Tennessee,Sevier County,Small town,12.90%,1.50%,,
Missouri,Pettis County,Small town,12.90%,1.30%,,
Arkansas,Clark County,Small town,12.80%,2.10%,,
Wisconsin,Douglas County,Metro area,12.80%,1.50%,,
New Jersey,Salem County,Metro area,12.80%,1.20%,,
California,Humboldt County,Small town,12.80%,1.20%,,
Alabama,Autauga County,Metro area,12.80%,1.90%,,
Texas,Jasper County,Rural area,12.80%,1.90%,,
Maryland,Kent County,Rural area,12.80%,2.50%,,
Iowa,Fayette County,Rural area,12.80%,2.00%,,
Colorado,Baca County,Rural area,12.80%,3.00%,,
Wisconsin,Burnett County,Rural area,12.80%,1.20%,,
West Virginia,Tucker County,Rural area,12.80%,2.40%,,
Ohio,Brown County,Metro area,12.80%,1.40%,,
Michigan,Cheboygan County,Rural area,12.80%,1.30%,,
Virginia,Halifax County,Rural area,12.80%,2.10%,,
Illinois,De Witt County,Metro area,12.80%,2.10%,,
Indiana,Blackford County,Rural area,12.80%,2.40%,,
Oklahoma,Cherokee County,Small town,12.80%,1.30%,,
Iowa,Woodbury County,Metro area,12.80%,1.10%,,
Arkansas,Cross County,Rural area,12.80%,2.40%,,
Georgia,Madison County,Metro area,12.80%,2.10%,,
Idaho,Payette County,Small town,12.80%,2.40%,,
Mississippi,Lincoln County,Small town,12.70%,2.80%,,
Texas,Montague County,Rural area,12.70%,2.70%,,
Arkansas,Drew County,Rural area,12.70%,3.00%,,
Montana,Chouteau County,Rural area,12.70%,2.50%,,
Virginia,Page County,Rural area,12.70%,2.40%,,
Virginia,Harrisonburg city,Metro area,12.70%,2.00%,,
Louisiana,Lafourche Parish,Metro area,12.70%,1.30%,,
Kansas,Chautauqua County,Rural area,12.70%,2.90%,,
Georgia,Chatham County,Metro area,12.70%,0.70%,,
Washington,Pierce County,Metro area,12.70%,0.40%,,
Colorado,Morgan County,Small town,12.70%,2.40%,,
Texas,Trinity County,Small town,12.70%,2.80%,,
Washington,Skagit County,Metro area,12.70%,1.00%,,
Arkansas,Craighead County,Metro area,12.70%,1.30%,,
Louisiana,Plaquemines Parish,Metro area,12.70%,3.10%,,
Illinois,Whiteside County,Small town,12.70%,1.40%,,
Virginia,Washington County,Metro area,12.70%,1.50%,,
Indiana,Crawford County,Rural area,12.60%,2.80%,,
Ohio,Washington County,Small town,12.60%,1.40%,,
Georgia,Habersham County,Small town,12.60%,1.90%,,
Virginia,Newport News city,Metro area,12.60%,0.80%,,
Georgia,Douglas County,Metro area,12.60%,1.10%,,
Montana,Sanders County,Rural area,12.60%,2.70%,,
Virginia,Accomack County,Rural area,12.60%,2.10%,,
Kentucky,Hancock County,Metro area,12.60%,2.80%,,
Vermont,Franklin County,Metro area,12.60%,1.20%,,
North Carolina,Catawba County,Metro area,12.60%,0.80%,,
Nevada,Clark County,Metro area,12.60%,0.30%,,
Arkansas,Perry County,Metro area,12.60%,2.90%,,
Colorado,Montezuma County,Rural area,12.60%,1.90%,,
Arkansas,Pike County,Rural area,12.60%,2.30%,,
North Carolina,Clay County,Rural area,12.60%,4.30%,,
Kansas,Cowley County,Small town,12.60%,1.70%,,
Utah,Uintah County,Small town,12.60%,2.60%,,
West Virginia,Hardy County,Rural area,12.60%,3.30%,,
Texas,Harris County,Metro area,12.60%,0.20%,,
Georgia,Banks County,Rural area,12.60%,2.10%,,
Alabama,Morgan County,Metro area,12.60%,1.10%,,
Louisiana,Livingston Parish,Metro area,12.60%,1.40%,,
Texas,Van Zandt County,Rural area,12.60%,1.60%,,
Texas,Reeves County,Small town,12.60%,3.30%,,
Nevada,Lyon County,Small town,12.60%,1.70%,,
Michigan,Ingham County,Metro area,12.50%,0.60%,,
Missouri,Newton County,Metro area,12.50%,1.50%,,
Alabama,Clay County,Rural area,12.50%,2.80%,,
Illinois,DeKalb County,Metro area,12.50%,1.30%,,
Iowa,Lucas County,Rural area,12.50%,2.90%,,
Texas,Franklin County,Rural area,12.50%,4.20%,,
Texas,Stephens County,Rural area,12.50%,3.50%,,
Mississippi,Oktibbeha County,Small town,12.50%,2.20%,,
Virginia,Pulaski County,Metro area,12.50%,1.90%,,
Georgia,Rockdale County,Metro area,12.50%,1.30%,,
Massachusetts,Franklin County,Small town,12.50%,0.90%,,
Texas,Jones County,Metro area,12.50%,2.40%,,
Texas,Bailey County,Rural area,12.50%,5.10%,,
North Carolina,Stokes County,Metro area,12.50%,2.00%,,
Indiana,Greene County,Rural area,12.50%,1.70%,,
Missouri,Webster County,Metro area,12.50%,1.70%,,
North Carolina,Mitchell County,Rural area,12.50%,2.30%,,
Mississippi,Newton County,Rural area,12.50%,2.40%,,
New York,Niagara County,Metro area,12.50%,0.60%,,
Texas,McCulloch County,Rural area,12.50%,4.00%,,
Mississippi,Lamar County,Metro area,12.50%,1.90%,,
North Carolina,Graham County,Rural area,12.50%,3.00%,,
Wisconsin,Jackson County,Rural area,12.50%,1.60%,,
Florida,Citrus County,Metro area,12.40%,1.00%,,
Oklahoma,Lincoln County,Metro area,12.40%,1.20%,,
